City,Country,Date,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude,Longitude
Makokou,GA,1561069295,70.33,97,91,2.42,0.56,12.85
Cabo San Lucas,MX,1561069074,102.0,14,5,11.41,22.89,-109.91
Bluff,AU,1561069295,48.55,59,0,5.39,-23.58,149.07
Clyde River,CA,1561069295,33.8,100,75,10.29,70.47,-68.59
Mocuba,MZ,1561069295,60.61,98,7,6.35,-16.84,36.99
Nadym,RU,1561069296,46.03,57,83,11.99,65.53,72.51
Bilibino,RU,1561069296,61.69,52,82,2.08,68.06,166.44
Nikolayevsk-na-amure,RU,1561069296,49.63,82,42,1.3,53.14,140.72
Nicoya,CR,1561069005,86.0,79,75,3.36,10.15,-85.45
Sao Joao da Barra,BR,1561069296,75.2,69,0,4.7,-21.64,-41.05
Mataura,NZ,1561069296,45.0,95,36,3.0,-46.19,168.86
Puerto Colombia,CO,1561069297,86.0,74,40,9.17,10.99,-74.96
Puerto Ayora,EC,1561069297,78.07,73,80,12.39,-0.74,-90.35
Cape Town,ZA,1561069297,60.01,62,0,9.17,-33.93,18.42
Tuktoyaktuk,CA,1561069297,48.2,66,75,11.41,69.44,-133.03
Patur,IN,1561069297,85.63,53,100,15.73,20.46,76.94
Airai,TL,1561069298,66.01,83,57,5.41,-8.93,125.41
Coquimbo,CL,1561069298,60.01,72,75,9.17,-29.95,-71.34
Aklavik,CA,1561069298,59.0,50,40,2.24,68.22,-135.01
Kalengwa,ZM,1561069298,54.49,60,0,5.57,-13.47,25.0
Banjar,ID,1561069298,65.29,97,27,1.59,-7.37,108.54
La Foa,NC,1561069299,68.0,82,0,3.36,-21.71,165.83
Phalodi,IN,1561069299,89.95,48,25,10.07,27.13,72.36
Thompson,CA,1561069299,80.6,22,40,11.41,55.74,-97.86
Balakhta,RU,1561069299,49.27,85,0,2.44,55.38,91.62
Kapaa,US,1561069153,82.4,58,1,10.29,22.08,-159.32
Hithadhoo,MV,1561069299,83.83,71,97,4.79,-0.6,73.08
Arlit,NE,1561069300,97.87,20,3,13.51,18.74,7.39
Uglovskoye,RU,1561069300,55.75,75,26,5.7,51.36,80.19
Faanui,PF,1561069300,80.59,77,100,18.79,-16.48,-151.75
Saskylakh,RU,1561069300,58.99,46,99,9.46,71.97,114.09
Caxito,BR,1561069300,75.2,88,40,11.41,-22.65,-42.51
Ballina,IE,1561069300,53.01,86,29,1.99,54.11,-9.15
Penzance,GB,1561069301,57.99,87,55,9.17,50.12,-5.53
Vostok,RU,1561069301,52.33,93,100,3.65,46.45,135.83
Lethem,GY,1561069301,86.35,61,16,11.36,3.38,-59.8
Yellowknife,CA,1561069301,62.6,59,75,11.41,62.45,-114.38
Atagay,RU,1561069302,55.21,97,100,2.75,55.1,99.39
Bambous Virieux,MU,1561069302,73.4,60,20,16.11,-20.34,57.76
Mahibadhoo,MV,1561069302,83.29,79,100,9.91,3.78,72.97
Itoman,JP,1561069302,80.6,100,90,14.99,26.12,127.67
Okato,NZ,1561069303,60.01,88,0,12.35,-39.19,173.88
Beausejour,CA,1561069303,86.0,28,75,11.41,50.06,-96.51
East London,ZA,1561069303,60.79,28,49,6.04,-33.02,27.91
Rancho Palos Verdes,US,1561069303,75.0,77,75,13.87,33.75,-118.37
Cururupu,BR,1561069303,78.25,85,45,3.49,-1.82,-44.87
Sao Filipe,CV,1561069303,74.47,83,38,23.4,14.9,-24.5
Aldan,RU,1561069304,59.35,82,17,2.24,58.61,125.39
Carnarvon,ZA,1561069304,51.61,33,36,12.62,-30.97,22.13
Angoche,MZ,1561069304,65.29,95,71,8.21,-16.23,39.91
Buraydah,SA,1561069304,78.8,26,0,5.82,26.33,43.97
Dongying,CN,1561069304,76.63,77,100,3.98,37.43,118.67
Hervey Bay,AU,1561069304,63.0,82,90,9.17,-25.3,152.85
Provideniya,RU,1561069305,50.0,81,75,8.95,64.42,-173.23
Deputatskiy,RU,1561069305,66.37,37,34,4.81,69.3,139.9
Isla Mujeres,MX,1561069305,87.8,70,75,11.41,21.23,-86.73
Diamantino,BR,1561069305,79.51,54,0,5.39,-14.4,-56.44
Palmer,AU,1561069060,48.0,81,0,8.05,-34.85,139.16
Kokorevka,RU,1561069305,64.21,93,45,4.81,52.59,34.27
Hobart,AU,1561069220,44.6,81,20,11.41,-42.88,147.33
Port Macquarie,AU,1561069306,48.99,100,40,3.0,-31.43,152.91
Hope,CA,1561069306,63.0,67,75,10.29,49.38,-121.43
Gazimurskiy Zavod,RU,1561069306,55.75,56,0,1.83,51.55,118.33
Pevek,RU,1561069306,40.45,74,5,8.25,69.7,170.27
Ilulissat,GL,1561069307,42.8,81,75,2.24,69.22,-51.1
Kyzyl-Suu,KG,1561069307,60.61,67,0,7.76,42.34,78.0
Port Hardy,CA,1561069307,60.8,63,20,13.87,50.7,-127.42
Bakchar,RU,1561069307,50.89,97,13,5.26,57.02,82.07
Ionia,US,1561069307,70.0,82,90,9.17,42.99,-85.07
Malindi,KE,1561069308,74.65,80,4,11.48,-3.22,40.12
Mahebourg,MU,1561069308,73.4,60,20,16.11,-20.41,57.7
Borogontsy,RU,1561069308,64.75,66,74,4.34,62.67,131.17
San Quintin,PH,1561069308,77.17,88,50,2.17,17.54,120.52
Pleszew,PL,1561069308,73.99,61,100,0.63,51.9,17.79
Fasano,IT,1561069308,79.0,78,0,4.7,40.83,17.36
Arraial do Cabo,BR,1561069309,75.2,88,20,12.75,-22.97,-42.02
Suzun,RU,1561069309,51.43,85,0,2.84,53.78,82.32
Katherine,AU,1561069309,50.0,38,44,8.05,-14.47,132.26
Cockburn Town,TC,1561069309,81.67,82,0,20.22,21.46,-71.14
Meridian,US,1561069200,93.2,52,40,6.93,32.36,-88.7
Ibra,OM,1561069309,80.95,43,3,4.36,22.69,58.55
Sechura,PE,1561069310,67.45,85,22,15.5,-5.56,-80.82
Novobirilyussy,RU,1561069310,49.81,95,0,2.95,56.95,90.69
Puerto Cabezas,NI,1561069310,84.2,83,75,6.93,14.04,-83.39
Bismil,TR,1561069310,72.0,56,0,3.36,37.85,40.66
Nyazepetrovsk,RU,1561069310,54.49,96,69,4.36,56.06,59.6
Kodiak,US,1561069311,87.01,26,90,6.93,39.95,-94.76
Hare Bay,CA,1561069311,64.99,59,75,6.93,48.86,-53.99
Paamiut,GL,1561069311,40.09,90,0,15.61,61.99,-49.67
Mangai,CD,1561069311,73.03,46,0,1.95,-4.07,19.59
Avarua,CK,1561069311,75.2,69,37,13.87,-21.21,-159.78
Finschhafen,PG,1561069311,66.19,76,76,4.21,-6.6,147.85
Kavieng,PG,1561069312,82.03,78,100,3.4,-2.57,150.8
Severo-Kurilsk,RU,1561069312,44.41,99,100,2.08,50.68,156.12
Yinchuan,CN,1561069312,66.99,60,100,1.01,38.48,106.21
Pangnirtung,CA,1561069312,50.0,71,20,14.99,66.15,-65.72
Fortuna,ES,1561069313,71.01,88,20,3.36,38.18,-1.13
Iwaki,JP,1561069313,70.0,93,75,2.24,37.05,140.89
Zhigansk,RU,1561069313,66.91,60,37,7.74,66.77,123.37
Marawi,PH,1561069313,75.99,95,16,1.99,8.0,124.29
Darab,IR,1561069313,74.11,27,29,5.68,28.75,54.55
Kavaratti,IN,1561069314,84.37,74,100,22.7,10.57,72.64
Shingu,JP,1561069314,62.95,84,100,3.0,33.72,135.99
Norman Wells,CA,1561069314,57.2,82,90,5.82,65.28,-126.83
Dakar,SN,1561069314,77.0,73,42,13.87,14.69,-17.45
Lagoa,PT,1561069314,66.2,68,0,16.11,37.14,-8.45
Kamenka,RU,1561069315,70.0,51,73,2.04,53.19,44.05
Vardo,US,1561069088,84.2,54,1,6.93,39.62,-77.74
Turukhansk,RU,1561069315,44.95,61,49,10.18,65.8,87.96
Saint Anthony,US,1561069315,62.6,20,20,26.4,43.97,-111.68
Tuatapere,NZ,1561069315,45.0,95,65,3.0,-46.13,167.69
Maumere,ID,1561069315,71.41,76,0,5.01,-8.63,122.22
Mulchen,CL,1561069316,50.0,87,100,2.93,-37.72,-72.23
Tasiilaq,GL,1561069316,35.6,93,4,10.29,65.61,-37.64
Sao Joao de Pirabas,BR,1561069316,77.35,95,97,2.33,-0.77,-47.18
Payson,US,1561069316,84.2,24,75,16.11,40.04,-111.73
Russell,AR,1561069317,53.6,46,0,2.24,-33.01,-68.8
Placer,US,1561069317,71.6,28,1,14.99,42.63,-123.32
Norrtalje,SE,1561069317,66.2,88,0,8.05,59.76,18.7
Rosarito,CO,1561069317,84.2,78,40,4.7,4.91,-75.23
Timra,SE,1561069318,61.0,100,72,5.82,62.49,17.33
Staraya Poltavka,RU,1561069318,67.63,64,1,4.43,50.48,46.48
Eydhafushi,MV,1561069318,83.29,80,100,12.82,5.1,73.07
Warmbad,DE,1561069318,66.0,87,0,2.24,50.67,13.08
Alice Springs,AU,1561069069,30.2,80,0,1.12,-23.7,133.88
Knysna,ZA,1561069318,68.0,28,0,6.93,-34.04,23.05
Lidkoping,SE,1561069319,61.0,87,38,16.11,58.51,13.16
Smithers,CA,1561069319,62.6,45,75,5.82,54.78,-127.17
Mar del Plata,AR,1561069319,44.05,72,100,17.56,-46.43,-67.52
Esperance,TT,1561069319,84.99,70,40,16.11,10.24,-61.45
Hobyo,SO,1561069319,77.53,75,0,28.05,5.35,48.53
Yelanskiy,RU,1561069320,56.29,97,54,5.75,56.84,62.5
Westport,IE,1561069286,53.01,78,14,3.0,53.8,-9.52
Le Port,FR,1561069320,64.0,94,94,3.0,42.87,1.37
Jussara,BR,1561069320,76.27,54,36,6.8,-15.87,-50.87
Ravar,IR,1561069027,80.77,14,72,11.41,31.27,56.81
Sitka,US,1561069320,93.99,47,33,8.99,37.17,-99.65
Kulunda,RU,1561069321,57.91,68,58,6.22,52.57,78.94
Salon,IN,1561069321,86.17,56,0,4.05,26.03,81.45
Aljezur,PT,1561069321,64.99,89,74,1.01,37.31,-8.8
Antigonish,CA,1561069310,66.0,55,1,11.41,45.62,-61.99
Portland,US,1561068582,69.01,48,75,8.05,45.52,-122.67
Husavik,CA,1561069321,80.01,19,38,1.01,50.56,-96.99
Hambantota,LK,1561069321,80.6,94,75,6.93,6.12,81.12
Sungaipenuh,ID,1561069322,73.03,93,100,2.13,-2.08,101.38
Sola,FI,1561069322,66.2,82,0,6.93,62.78,29.36
Cidreira,BR,1561069322,56.29,73,0,4.03,-30.17,-50.22
Longyearbyen,NO,1561069322,48.2,57,0,4.7,78.22,15.63
Vestmannaeyjar,IS,1561069322,51.43,70,100,14.23,63.44,-20.27
Portobelo,PA,1561069322,86.0,79,40,4.7,9.55,-79.65
Angoram,PG,1561069323,73.39,97,100,1.95,-4.06,144.07
Port Lincoln,AU,1561069323,53.23,83,25,11.3,-34.72,135.86
Alyangula,AU,1561069323,55.4,100,0,3.36,-13.85,136.42
Bosaso,SO,1561069323,87.61,72,0,6.06,11.28,49.18
Nioro,GM,1561069323,85.09,48,86,17.34,13.79,-15.05
Tete,MZ,1561069324,66.2,63,0,2.19,-16.16,33.59
Sibenik,HR,1561069324,66.01,83,64,3.38,45.81,17.18
Berlevag,NO,1561069324,41.0,75,90,5.82,70.86,29.09
Gizo,IL,1561069324,77.0,78,75,3.36,31.8,34.94
Shu,KZ,1561069324,67.27,32,0,6.4,43.6,73.76
Te Anau,NZ,1561069325,46.39,73,100,14.16,-45.41,167.72
Virginia Beach,US,1561069059,89.01,83,75,27.51,36.85,-75.98
Richards Bay,ZA,1561069325,69.61,78,0,22.24,-28.77,32.06
Liverpool,GB,1561069186,55.99,76,20,5.82,53.41,-2.98
Aksehir,TR,1561069259,55.93,93,0,2.26,38.36,31.42
Port Elizabeth,US,1561069236,89.01,78,1,6.93,39.31,-74.98
Dabakala,CI,1561069325,76.45,88,0,3.51,8.36,-4.43
Laguna,MX,1561069326,104.0,11,5,9.17,27.52,-110.01
Wilmington,US,1561069264,84.0,69,40,10.29,39.75,-75.55
Sawtell,AU,1561069326,48.99,93,1,3.36,-30.38,153.1
Lingao,CN,1561069326,84.19,80,67,9.4,19.91,109.69
Leiyang,CN,1561069326,80.23,83,100,5.68,26.42,112.85
Konyshevka,RU,1561069326,64.93,91,18,5.86,51.85,35.29
Bethel,US,1561069327,55.4,76,90,5.82,60.79,-161.76
Plettenberg Bay,ZA,1561069327,65.83,28,100,6.6,-34.05,23.37
Skibbereen,IE,1561069327,51.8,71,20,9.17,51.55,-9.27
Bossangoa,CF,1561069327,70.51,94,86,1.14,6.5,17.45
Karratha,AU,1561069328,66.01,85,9,5.66,-20.74,116.85
Erenhot,CN,1561069328,73.57,17,36,8.61,43.65,111.97
Lubao,PH,1561069328,84.2,88,75,2.24,14.94,120.6
Labuhan,ID,1561069328,70.69,97,70,1.68,-2.54,115.51
Adrar,DZ,1561069328,100.4,3,0,6.93,27.87,-0.29
Clovis,US,1561069226,93.0,29,20,5.82,36.83,-119.7
Hommelvik,NO,1561069329,57.2,87,90,11.41,63.41,10.8
Tongren,CN,1561069329,75.19,96,100,3.47,27.72,109.18
Maua,KE,1561069329,49.27,84,0,4.76,0.23,37.94
Tekeli,KZ,1561069329,61.15,50,1,5.3,44.86,78.76
Salalah,OM,1561069330,86.0,84,75,10.29,17.01,54.1
Tsuyama,JP,1561069330,73.4,73,75,8.05,35.14,134.03
Mezen,RU,1561069330,39.19,73,56,7.2,65.85,44.24
Fomboni,KM,1561069330,77.17,75,76,14.32,-12.28,43.74
Leningradskiy,RU,1561069330,41.53,84,100,7.58,69.38,178.42
Coihaique,CL,1561069331,46.4,81,75,4.7,-45.58,-72.07
Nautla,MX,1561069331,89.05,66,81,15.43,20.22,-96.78
Lavrentiya,RU,1561069331,67.09,35,58,4.79,65.58,-170.99
Gupitan,PH,1561069331,68.71,98,67,2.08,7.78,125.64
The Valley,AI,1561069331,84.2,69,20,17.22,18.22,-63.06
Ahuimanu,US,1561069332,89.6,62,20,10.29,21.44,-157.84
Souillac,FR,1561069332,62.6,72,0,5.82,45.6,-0.6
Rio Grande,BR,1561069332,53.6,81,0,4.7,-32.03,-52.1
Atar,MR,1561069332,96.79,11,0,9.57,20.52,-13.05
Salinas,US,1561069099,73.99,82,90,14.99,36.67,-121.66
Katsuura,JP,1561069333,73.4,83,75,3.36,33.93,134.5
Nassau,DE,1561069333,66.0,88,0,4.7,51.17,13.51
Bukene,TZ,1561069333,67.09,51,14,4.27,-4.23,32.89
Hovd,NO,1561069333,57.2,87,90,11.41,63.83,10.7
Taoudenni,ML,1561069334,94.81,4,0,7.83,22.68,-3.98
Dingle,PH,1561069334,76.09,88,0,2.39,11.0,122.67
Nagato,JP,1561069334,73.4,88,100,8.05,34.35,131.14
Kaitangata,NZ,1561069334,46.0,64,68,7.0,-46.28,169.85
Ampanihy,MG,1561069334,66.91,70,0,13.98,-24.69,44.75
Vallenar,CL,1561069334,55.57,84,100,8.12,-28.58,-70.76
Eureka,US,1561069158,66.2,48,1,18.34,40.8,-124.16
Yulara,AU,1561069335,30.2,63,0,4.7,-25.24,130.99
Suda,RU,1561069335,61.87,78,68,4.32,59.15,37.56
Praia da Vitoria,PT,1561069335,66.2,88,20,11.39,38.73,-27.07
Batagay,RU,1561069336,69.25,41,0,6.67,67.65,134.64
Tiksi,RU,1561069158,40.45,83,9,5.23,71.64,128.87
San Patricio,PY,1561069336,58.27,77,0,4.05,-26.98,-56.83
Gat,SN,1561069337,77.0,73,0,13.87,14.69,-16.54
Vilhena,BR,1561069337,84.2,48,0,6.93,-12.74,-60.15
Nanortalik,GL,1561069337,36.49,92,94,5.44,60.14,-45.24
Bismarck,US,1561069215,73.99,49,75,3.36,46.81,-100.78
Dubbo,AU,1561069338,26.6,100,0,3.36,-32.25,148.6
Carutapera,BR,1561069338,77.17,93,81,4.12,-1.2,-46.02
Taloda,IN,1561069338,82.93,67,0,15.59,21.56,74.21
Northglenn,US,1561069130,88.0,19,40,11.41,39.91,-104.99
Iqaluit,CA,1561069339,66.2,45,20,18.34,63.75,-68.52
Tevriz,RU,1561069339,55.03,98,97,6.62,57.51,72.4
Los Llanos de Aridane,ES,1561069339,71.6,78,20,11.41,28.66,-17.92
Kanye,BW,1561069340,48.19,39,0,8.7,-24.98,25.34
San Matias,HN,1561069340,78.01,73,40,6.93,13.97,-86.63
Spokane,US,1561069340,64.99,36,90,14.99,47.66,-117.42
Isangel,VU,1561069340,80.6,69,20,17.22,-19.55,169.27
Khovu-Aksy,RU,1561069340,53.41,90,99,3.94,51.13,93.72
La Asuncion,EC,1561069341,54.85,71,60,1.5,-1.64,-78.74
Bolshoye Murashkino,RU,1561069341,63.49,75,76,2.8,55.78,44.78
Dongsheng,CN,1561069341,73.39,96,100,10.76,29.72,112.52
Serov,RU,1561069341,50.35,95,46,4.18,59.61,60.57
Horsham,AU,1561069341,36.49,90,0,4.32,-36.71,142.2
Juquia,BR,1561069342,66.37,84,96,1.23,-24.32,-47.63
Maningrida,AU,1561069342,59.89,76,52,9.28,-12.05,134.23
Colesberg,ZA,1561069342,48.37,31,68,8.61,-30.72,25.1
Burnie,AU,1561069342,35.01,83,7,1.99,-41.05,145.91
Iquitos,PE,1561069342,82.4,78,75,3.36,-3.75,-73.25
Jati,PK,1561069343,81.49,83,32,12.01,24.35,68.27
Beringovskiy,RU,1561069343,60.97,54,100,4.88,63.05,179.32
Katobu,ID,1561069343,71.41,91,12,3.78,-4.94,122.53
Fier,AL,1561069343,74.47,72,0,1.83,40.73,19.56
Puerto Leguizamo,CO,1561069343,78.97,92,48,3.6,-0.19,-74.78
Sisimiut,GL,1561069343,40.09,90,45,3.62,66.94,-53.67
Port Hawkesbury,CA,1561069344,66.99,55,1,11.41,45.62,-61.36
Koungheul,SN,1561069344,96.07,22,100,11.97,13.98,-14.8
Zhanaozen,KZ,1561069344,84.91,21,98,19.13,43.35,52.85
Goundam,ML,1561069344,103.81,6,0,5.01,16.42,-3.66
Novo mesto,SI,1561069344,73.0,93,0,0.96,45.8,15.17
Yar-Sale,RU,1561069345,42.97,66,87,4.09,66.83,70.83
Darhan,MN,1561069345,62.05,53,0,5.03,49.49,105.92
Nizhnekamsk,RU,1561069345,66.2,55,0,6.71,55.64,51.82
Maniitsoq,GL,1561069345,42.61,84,28,2.46,65.42,-52.9
Omboue,GA,1561069345,75.01,86,0,11.18,-1.57,9.26
Radovitskiy,RU,1561069345,57.99,60,0,2.21,55.13,39.8
Arman,RU,1561069346,41.17,97,100,4.5,59.7,150.17
Mucurapo,TT,1561069346,84.99,70,40,16.11,10.67,-61.53
Linxia,CN,1561069346,57.73,96,100,1.99,35.6,103.21
Dauphin,CA,1561069346,71.6,53,90,9.17,51.15,-100.04
Moose Factory,CA,1561069346,59.0,67,1,6.93,51.26,-80.61
Grand-Lahou,CI,1561069347,74.83,96,45,4.07,5.24,-5.0
Lielvarde,LV,1561069347,66.2,93,0,3.36,56.72,24.81
Faya,SA,1561069347,77.0,46,0,1.79,18.39,42.45
Akdepe,TM,1561069347,77.0,32,0,2.24,42.05,59.39
Constitucion,MX,1561069347,86.0,16,75,4.7,23.99,-104.67
Zmeinogorsk,RU,1561069347,53.41,89,0,2.75,51.15,82.2
Pangody,RU,1561069348,46.39,60,91,6.87,65.85,74.49
San Cristobal,EC,1561069348,52.0,83,95,3.0,-0.39,-78.55
Sao Jose da Coroa Grande,BR,1561069348,71.95,88,27,3.38,-8.9,-35.15
Chara,GR,1561069348,77.0,64,20,0.94,39.42,22.43
Bay-Khaak,RU,1561069349,57.55,80,100,5.5,51.16,94.47
Artyom,RU,1561069349,53.6,100,90,2.24,43.36,132.19
Ambilobe,MG,1561069349,71.77,71,0,9.13,-13.19,49.05
Pangoa,PE,1561069349,76.45,81,44,2.04,-12.12,-73.0
Barauna,BR,1561069349,67.81,52,0,4.79,-14.07,-42.49
Olinda,EC,1561069349,88.0,71,23,1.01,-2.03,-79.75
Quelimane,MZ,1561069350,66.2,93,75,11.41,-17.88,36.89
Presidencia Roque Saenz Pena,AR,1561069350,60.43,71,0,5.75,-26.79,-60.44
Antsohihy,MG,1561069350,75.37,63,0,21.47,-14.88,47.99
Moussoro,TD,1561069350,97.15,25,50,3.76,13.64,16.49
Ahipara,NZ,1561069350,59.89,80,57,14.9,-35.17,173.16
Touros,BR,1561069090,78.8,83,40,6.93,-5.2,-35.46
High Level,CA,1561069190,60.8,63,75,11.41,58.52,-117.13
Mount Gambier,AU,1561069120,30.2,100,44,2.24,-37.83,140.78
Sijunjung,ID,1561069351,66.73,97,98,1.57,-0.69,100.95
Conceicao do Araguaia,BR,1561069343,82.39,58,78,2.19,-8.26,-49.26
Avera,US,1561069351,91.4,83,1,3.36,33.19,-82.53
Boa Vista,BR,1561069352,87.8,55,40,8.05,2.82,-60.67
Leh,IN,1561069352,26.77,80,100,1.39,34.16,77.58
Sivas,TR,1561069353,52.0,100,40,6.93,39.75,37.01
Veraval,FR,1561069353,55.4,87,0,4.7,49.65,0.71
Vila Velha,BR,1561069353,86.0,78,0,8.05,-3.71,-38.6
Bom Jesus,BR,1561069353,79.15,52,14,4.72,-9.08,-44.36
Yakeshi,CN,1561069353,55.03,69,76,2.46,49.28,120.73
Ardon,RU,1561069354,68.0,52,75,2.24,43.18,44.31
Fengzhen,CN,1561069354,64.39,53,100,2.24,40.43,113.15
Cheremukhovo,RU,1561069354,62.41,86,36,3.62,56.23,46.23
Taybad,IR,1561069354,74.83,30,0,9.04,34.74,60.78
Kahului,US,1561069327,87.8,48,40,20.8,20.89,-156.47
Oparino,RU,1561069355,48.73,84,8,4.23,59.85,48.28
Tvedestrand,NO,1561069355,53.6,100,0,8.05,58.62,8.93
Griffith,AU,1561069355,37.4,100,90,3.36,-34.29,146.06
Pisco,PE,1561069355,71.6,30,90,8.05,-13.71,-76.2
Vegreville,CA,1561069233,55.99,84,100,1.99,53.5,-112.05
Santa Maria,BR,1561069107,59.0,77,0,4.7,-29.69,-53.81
Menongue,AO,1561069358,52.51,51,0,3.85,-14.66,17.68
Bathsheba,BB,1561069358,84.2,70,20,16.11,13.22,-59.52
Fairbanks,US,1561069358,82.0,36,1,5.82,64.84,-147.72
Chicama,PE,1561069358,66.2,88,40,12.75,-7.84,-79.15
Bani,PH,1561069358,78.43,86,18,2.08,15.89,120.27
Sarangarh,IN,1561069358,78.97,89,100,14.12,21.6,83.08
Henties Bay,NA,1561069359,75.0,20,0,7.0,-22.12,14.28
Boa Esperanca,BR,1561069359,84.19,66,82,2.51,-1.91,-60.0
Jumla,NP,1561069359,49.63,90,38,3.87,29.28,82.18
Belur,IN,1561069359,70.51,97,100,1.68,13.16,75.86
Mayor Pablo Lagerenza,PY,1561069359,72.49,58,2,3.09,-19.93,-60.77
Comodoro Rivadavia,AR,1561069337,48.2,87,0,17.05,-45.87,-67.48
Archena,ES,1561069360,71.01,88,75,5.82,38.11,-1.3
Cravo Norte,CO,1561069360,78.07,91,100,9.24,6.3,-70.2
Tarata,PE,1561069360,62.6,72,20,10.29,-17.47,-70.03
Kendari,ID,1561069360,69.43,96,38,2.39,-3.99,122.52
San Andres,PH,1561069360,76.81,92,79,1.83,13.32,122.68
Banamba,ML,1561069361,96.61,18,0,3.74,13.55,-7.45
Preobrazheniye,RU,1561069361,51.79,98,25,4.34,42.9,133.91
Amot,NO,1561069361,54.0,84,1,1.99,59.57,7.99
Aktyubinskiy,RU,1561069361,59.53,86,0,4.38,54.81,52.81
Ojinaga,US,1561069361,102.2,8,1,2.39,29.56,-104.41
Balezino,RU,1561069361,53.23,86,1,5.82,57.97,53.01
